nv;Datetime;inv2_P;inv2_Q;inv2_Ep;inv2_Eq
0;2024-01-01 00:15:00;0;0;0;0
1;2024-01-01 00:30:00;0;0;3.15231E-06;0
2;2024-01-01 00:45:00;0;0;1.29672E-05;0
3;2024-01-01 01:00:00;0;0;2.99815E-05;0
4;2024-01-01 01:15:00;0;0;5.47321E-05;0
5;2024-01-01 01:30:00;0;0;0;0
6;2024-01-01 01:45:00;0;0;0;0
7;2024-01-01 02:00:00;0;0;0;0
8;2024-01-01 02:15:00;0;0;0;0
9;2024-01-01 02:30:00;0;0;0;0
10;2024-01-01 02:45:00;0;0;0;0
11;2024-01-01 03:00:00;0;0;0;0
12;2024-01-01 03:15:00;0;0;0;0
13;2024-01-01 03:30:00;0;0;0;0
14;2024-01-01 03:45:00;0;0;0;0
15;2024-01-01 04:00:00;0;0;0;0
16;2024-01-01 04:15:00;0;0;0;0
17;2024-01-01 04:30:00;0;0;0;0
18;2024-01-01 04:45:00;0;0;0;0
19;2024-01-01 05:00:00;0;0;0;0
20;2024-01-01 05:15:00;0;0;0;0
21;2024-01-01 05:30:00;0;0;0;0
22;2024-01-01 05:45:00;0;0;0;0
23;2024-01-01 06:00:00;0;0;0;0
24;2024-01-01 06:15:00;0;0;0;0
25;2024-01-01 06:30:00;0;0;0;0
26;2024-01-01 06:45:00;0;0;0;0
27;2024-01-01 07:00:00;0;0;0;0
28;2024-01-01 07:15:00;0;0;0;0
29;2024-01-01 07:30:00;0;0;0;0
30;2024-01-01 07:45:00;0;0;0;0
31;2024-01-01 08:00:00;0;0;0;0
32;2024-01-01 08:15:00;0;0;0;0
33;2024-01-01 08:30:00;0;0;0;0
34;2024-01-01 08:45:00;0;0;0;0
35;2024-01-01 09:00:00;0;0;0;0
36;2024-01-01 09:15:00;0;0;0;0
37;2024-01-01 09:30:00;0;0;0;0
38;2024-01-01 09:45:00;0;0;0;0
39;2024-01-01 10:00:00;0;0;0;0
40;2024-01-01 10:15:00;0;0;0;0
41;2024-01-01 10:30:00;0;0;0;0
42;2024-01-01 10:45:00;0;0;0;0
43;2024-01-01 11:00:00;0;0;0;0
44;2024-01-01 11:15:00;0;0;0;0
45;2024-01-01 11:30:00;0;0;0;0
46;2024-01-01 11:45:00;0;0;0;0
47;2024-01-01 12:00:00;0;0;0;0
48;2024-01-01 12:15:00;0;0;0;0
49;2024-01-01 12:30:00;0;0;0;0
50;2024-01-01 12:45:00;0;0;0;0
51;2024-01-01 13:00:00;0;0;0;0
52;2024-01-01 13:15:00;0;0;0;0
53;2024-01-01 13:30:00;0;0;0;0
54;2024-01-01 13:45:00;0;0;0;0
55;2024-01-01 14:00:00;0;0;0;0
